A̱o,Matrimonios,Divorcios
1994,671640.0,35029.0
1995,658114.0,37455.0
1996,670523.0,38545.0
1997,707840.0,40792.0
1998,704456.0,45889.0
1999,743856.0,49271.0
2000,707422.0,52358.0
2001,665434.0,57370.0
2002,616654.0,60641.0
2003,584142.0,64248.0
2004,600563.0,67575.0
2005,595713.0,70184.0
2006,586978.0,72396.0
2007,595209.0,77255.0
2008,589352.0,81851.0
2009,558913.0,84302.0
2010,568632.0,86042.0
2011,570954.0,91285.0
2012,585434.0,99509.0
2013,583264.0,108727.0
2014,577713.0,113478.0
2015,558022.0,123883.0
2016,543749.0,139807.0
2017,528678.0,147581.0
2018,501298.0,156556.0
2019,504923.0,160107.0
2020,335563.0,92739.0
2021,453085.0,149675.0
2022,507052.0,166766.0
2023,501529.0,163587.0
